system:index,Image+_Date,2BDA,3BDA,AreaSqKm,CI,Date,FLHV,Lake,Lake No,Longitude,NDCI,OC2,OC3,.geo
LC08_069013_20160626_10,6/26/16,0.503597122,-0.054545455,0.68,-0.01261935,40707,0.0043,YF03,9,-145.691556,-0.330143541,0.739393939,0.787878788,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.691556,66.65232]}"
LC08_069013_20160626_13,6/26/16,0.59375,0.104347826,0.79,-0.0095746,41165.45139,0.0015,YF09,12,-145.7015556,-0.254901961,0.869565217,0.939130435,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7015556,66.707]}"
LC08_069013_20160626_22,6/26/16,0.835820896,0.309090909,3.413,-0.0082152,40710,9.00E-04,Twelvemile Lake,21,-145.54564,-0.089430894,0.918181818,0.918181818,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.54564,66.44966]}"
LC08_069013_20160626_21,6/26/16,1.052631579,0.384615385,1.17,-0.00755986,41167.39583,-6.00E-04,Buddy Lake,20,-145.44285,0.025641026,1.065934066,1.010989011,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.44285,66.43065]}"
LC08_069013_20160626_25,6/26/16,0.491071429,0.103448276,1.164,-0.01090676,40711,0.006,YF02,24,-145.866087,-0.341317365,0.655172414,0.747126437,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.866087,66.538895]}"
LC08_069013_20160626_8,6/26/16,1.020408163,0.223463687,0.268,-0.01099188,40707,0.0049,YF04,7,-146.186808,0.01010101,0.726256983,0.770949721,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.186808,66.501153]}"
LC08_069013_20160626_7,6/26/16,0.885057471,0.35,2.832,-0.010935,40710,2.00E-04,Canvasback Lake,6,-146.358557,-0.06097561,0.985714286,0.971428571,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.358557,66.384025]}"
LC08_069013_20160626_12,6/26/16,0.948717949,-0.076,1.746,-0.0168625,40711,0.009,YF17,11,-146.267024,-0.026315789,0.64,0.704,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.267024,66.320636]}"
LC08_069013_20160626_9,6/26/16,0.784810127,0.358778626,4.555,-0.009738,40710,1.00E-03,Scoter Lake,8,-146.411736,-0.120567376,0.923664122,0.961832061,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.411736,66.235088]}"
LC08_069013_20160626_20,6/26/16,0.51497006,-0.144444444,0.988,-0.014219,41167.44097,0.0052,Thumb Lake,19,-146.144,-0.320158103,0.711111111,0.783333333,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.144,66.17525]}"
LC08_069013_20160626_18,6/26/16,0.895522388,0.294117647,1.627,-0.0080817,40711,4.00E-04,YF08,17,-145.558603,-0.05511811,0.960784314,0.950980392,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.558603,66.703426]}"
LC08_069013_20160626_11,6/26/16,0.833333333,0.354545455,1.625,-0.0090954,41165.40625,-4.00E-04,YF18,10,-145.7885278,-0.090909091,1.036363636,1.009090909,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7885278,66.7845]}"
LC08_069013_20160712_17,7/12/16,0.277992278,-0.201807229,0.593,-0.01829856,40710,0.0199,YF20,16,-145.774929,-0.564954683,0.40060241,0.578313253,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.774929,66.637751]}"
LC08_069013_20160712_10,7/12/16,0.461538462,-0.055837563,0.68,-0.01167129,40707,0.0097,YF03,9,-145.691556,-0.368421053,0.507614213,0.670050761,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.691556,66.65232]}"
LC08_069013_20160712_13,7/12/16,0.553719008,-0.090277778,0.79,-0.00985768,41165.45139,0.0062,YF09,12,-145.7015556,-0.287234043,0.569444444,0.75,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7015556,66.707]}"
LC08_069013_20160712_22,7/12/16,0.666666667,0.042372881,3.413,-0.00766474,40710,0.0042,Twelvemile Lake,21,-145.54564,-0.2,0.644067797,0.728813559,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.54564,66.44966]}"
LC08_069013_20160712_21,7/12/16,1.295454545,0.3,1.17,-0.0054723,41167.39583,3.00E-04,Buddy Lake,20,-145.44285,0.128712871,0.957142857,0.928571429,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.44285,66.43065]}"
LC08_069013_20160712_25,7/12/16,0.455782313,-0.12565445,1.164,-0.01158969,40711,0.0097,YF02,24,-145.866087,-0.373831776,0.492146597,0.643979058,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.866087,66.538895]}"
LC08_069013_20160712_8,7/12/16,1.127272727,0.101190476,0.268,-0.0113552,40707,0.0043,YF04,7,-146.186808,0.05982906,0.744047619,0.755952381,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.186808,66.501153]}"
LC08_069013_20160712_7,7/12/16,0.93220339,0.27,2.832,-0.00686,40710,0.0019,Canvasback Lake,6,-146.358557,-0.035087719,0.81,0.86,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.358557,66.384025]}"
LC08_069013_20160712_9,7/12/16,0.915254237,0.294642857,4.555,-0.00718536,40710,0.0024,Scoter Lake,8,-146.411736,-0.044247788,0.785714286,0.821428571,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.411736,66.235088]}"
LC08_069013_20160712_20,7/12/16,0.496688742,-0.366459627,0.988,-0.01088775,41167.44097,0.0087,Thumb Lake,19,-146.144,-0.336283186,0.459627329,0.571428571,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.144,66.17525]}"
LC08_069013_20160712_18,7/12/16,0.897058824,0.131868132,1.627,-0.00672533,40711,0.0022,YF08,17,-145.558603,-0.054263566,0.758241758,0.879120879,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.558603,66.703426]}"
LC08_069013_20160712_11,7/12/16,0.841269841,0.284210526,1.625,-0.0074556,41165.40625,6.00E-04,YF18,10,-145.7885278,-0.086206897,0.936842105,0.947368421,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7885278,66.7845]}"
LC08_069013_20160813_10,8/13/06,1.711009174,0.05904059,0.68,-0.02085489,40707,0.0048,YF03,9,-145.691556,0.262267343,0.822878229,0.863468635,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.691556,66.65232]}"
LC08_069013_20160813_22,8/13/06,1.034482759,-0.025974026,3.413,-0.00497223,40710,0.0034,Twelvemile Lake,21,-145.54564,0.016949153,0.558441558,0.727272727,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.54564,66.44966]}"
LC08_069013_20160813_21,8/13/06,1.180327869,0.058139535,1.17,-0.0056511,41167.39583,0.0032,Buddy Lake,20,-145.44285,0.082706767,0.627906977,0.76744186,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.44285,66.43065]}"
LC08_069013_20160813_20,8/13/06,1.024464832,-0.033707865,0.988,-0.02907144,41167.44097,0.0057,Thumb Lake,19,-146.144,0.012084592,0.83988764,0.884831461,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.144,66.17525]}"
LC08_069013_20160813_18,8/13/06,0.488188976,-0.31884058,1.627,-0.00870298,40711,0.0086,YF08,17,-145.558603,-0.343915344,0.376811594,0.601449275,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.558603,66.703426]}"
LC08_069013_20160829_22,8/29/16,1.356643357,-0.392638037,3.413,-0.00894845,40710,0.0121,Twelvemile Lake,21,-145.54564,0.151335312,0.257668712,0.484662577,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.54564,66.44966]}"
LC08_069013_20160829_9,8/29/16,0.966101695,-0.126506024,4.555,-0.0094263,40710,0.0089,Scoter Lake,8,-146.411736,-0.017241379,0.463855422,0.584337349,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.411736,66.235088]}"
LC08_069013_20160829_20,8/29/16,0.833333333,-0.590909091,0.988,-0.0060575,41167.44097,0.0161,Thumb Lake,19,-146.144,-0.090909091,-0.045454545,0.266233766,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.144,66.17525]}"
LC08_069013_20160829_11,8/29/16,1.391304348,-0.124324324,1.625,-0.0126153,41165.40625,0.0084,YF18,10,-145.7885278,0.163636364,0.545945946,0.745945946,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7885278,66.7845]}"
LC08_069014_20160610_5,6/10/16,1.444444444,0.858974359,0.747,-0.00605406,41166.73264,-0.0018,Sands of Time,4,-147.544,0.181818182,1.230769231,1.205128205,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-147.544,66.0339167]}"
LC08_069014_20160610_23,6/10/16,1.333333333,0.985714286,4.229,-0.0062118,41166.6875,-0.0035,Twin Lake,22,-147.493,0.142857143,1.5,1.285714286,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-147.493,66.1859722]}"
LC08_069014_20160610_24,6/10/16,1.173913043,1.220779221,0.557,-0.00807372,41166.64583,-0.0064,Shack Lake,23,-148.114,0.08,1.831168831,1.519480519,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-148.114,66.29375]}"
